address,name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
"534, Dollars Colony, Next to Bank of Travancore, New BEL Road, Bangalore",Ibaco,yes,no,3.9 /5,81,New BEL Road,Dessert Parlor,Icecream Cake,Desserts,300.0,Delivery,New BEL Road
"82, 80 Feet Road, Opposite MS Ramaiah Hospital, RMV 2nd Stage, New BEL Road, Bangalore",Jashn Hyderabadi Bawarchi,yes,no,2.9 /5,140,New BEL Road,Casual Dining,"Lemon Chicken, Hyderabadi Biryani","Hyderabadi, North Indian, Chinese, Biryani",650.0,Delivery,New BEL Road
"AEGS Layout, New BEL Road, Bangalore",Frozen Bottle,yes,no,3.8 /5,56,New BEL Road,Beverage Shop,Not Specified,"Beverages, Desserts, Ice Cream",400.0,Delivery,New BEL Road
"219, Vedika Mansion, M.G.E.S Layout, MSR Main Road, Devasandra, New BEL Road, Bangalore",Banashankari Restaurant,yes,no,,0,New BEL Road,Quick Bites,Not Specified,South Indian,400.0,Delivery,New BEL Road
"1, Ramachandra Pura Main Road, C Ramaiah Layout, Vidyaranyapura, Bangalore",KA 12 - Flavour Of Coorg,yes,no,4.0 /5,105,New BEL Road,Quick Bites,"Chicken Curry, Akki Rottis, Pork Curry, Chilli Pork, Roti, Neer Dosa",South Indian,300.0,Delivery,New BEL Road
"412, Third Block, 4th Main Road, Opposite Canara Bank, BEL Layout 3rd Block, BEL Layout, Vidyaranyapura, New BEL Road, Bangalore",Chawla's 2 Online.com,yes,no,,0,New BEL Road,"Takeaway, Delivery",Not Specified,North Indian,800.0,Delivery,New BEL Road
"4/3, 12th Main, 4th Cross, M.S. Ramaiah College Road, Mathikere, New BEL Road, Bangalore",Biriyani Paradise,yes,no,3.3 /5,210,Yeshwantpur,Quick Bites,"Beef Biryani, Paratha, Fish Curry, Chicken Biryani, Fish Fry","Kerala, Biryani, North Indian, Chettinad",450.0,Delivery,New BEL Road
"703, Near Karnataka Bank, 5th Block, HMT Layout, Vidyaranyapura, New BEL Road Area, New BEL Road, Bangalore",A2B - Adyar Ananda Bhavan,yes,no,3.0 /5,50,New BEL Road,Casual Dining,Pongal,"South Indian, North Indian, Chinese, Street Food, Fast Food",400.0,Delivery,New BEL Road
"186, Opposite Ramaiah Hospital, RMV 2nd Stage, New BEL Road, Bangalore",Sagar Samrat,yes,no,3.6 /5,119,New BEL Road,Casual Dining,"Chaat, Mysore Masala Dosa, Onion Dosa, Vegetable Biryani, Filter Coffee, Panipuri, Pav Bhaji","North Indian, Chinese, South Indian",400.0,Delivery,New BEL Road
"86, Ground Floor, Gokul Towers, Off M.S.Ramiah Road, Gokula, New BEL Road, Bangalore",Flavours Inn,yes,no,3.7 /5,59,New BEL Road,Quick Bites,"Sea Food, Malabar Fish Curry","Kerala, North Indian, Chinese",500.0,Delivery,New BEL Road
"71, KGEHB Layout, Aramane Nagar, Devasandra, New BEL Road, Bangalore",Stoned Monkey,yes,no,4.0 /5,255,New BEL Road,Dessert Parlor,"Nachos, Chocolava, Sandwiches, Waffles, Brownie Shake, Garlic Bread, Chocolate Milkshake","Desserts, Ice Cream",500.0,Delivery,New BEL Road
"170, KGE Layout, Opposite HP Petrol Bunk, New BEL Road, Bangalore",Pizza Stop,yes,no,3.1 /5,75,New BEL Road,Quick Bites,"Pizza, Masala Garlic Bread, Nachos","Pizza, Italian",600.0,Delivery,New BEL Road
"359, 1st Cross, HMT Main Road, Gokul, 1st Stage, Mathikere, Yeshwantpur, Bangalore",Pavilion,yes,no,3.7 /5,34,Yeshwantpur,Casual Dining,Not Specified,"North Indian, Chinese",700.0,Delivery,New BEL Road
"Comfort INN Insys, 46,1st Main Road, Gokula 1st Stage, Mathikere, Yeshwantpur, Bangalore",Pavilion Restaurant,yes,no,4.2 /5,100,Yeshwantpur,Casual Dining,"Salads, Chicken Soup, Fish, Curd Rice, Dal Tadka, Brownie Chocolate, Tomato Soup","North Indian, Chinese, Continental",1000.0,Delivery,New BEL Road
"1065, Triveni Road, Gokul Extention, MS Ramaiah Bus Stop, Mathikere, Yeshwantpur, Bangalore",Fish Corner,yes,no,3.7 /5,118,Yeshwantpur,Quick Bites,"Chicken Sukha, Neer Dosa","North Indian, Chinese, Seafood",400.0,Delivery,New BEL Road
"84, 80 Feet Road, RMV 2nd Stage, New BEL Road, Bangalore",Truffles,no,no,4.7 /5,3912,New BEL Road,"Cafe, Casual Dining","Burgers, Pasta Arrabiata, Ferrero Rocher Milkshake, Veg Pattice, Pesto Pasta, Rolls, Salads","Cafe, American, Burger, Steak",900.0,Delivery,New BEL Road
"48, 1st Main, Jaladarsini Layout, Sanjay Nagar, Bangalore",Chination,no,no,,0,Sanjay Nagar,Delivery,Not Specified,Chinese,600.0,Delivery,New BEL Road
"509/418, 1st Floor, Nandishwara Complex, Devasandra, Opposite Petrol Bunk, New BEL Road, Bangalore",Andhra Spice Mess,yes,no,3.4 /5,9,New BEL Road,Quick Bites,Not Specified,"Andhra, Biryani, North Indian, Chinese",250.0,Delivery,New BEL Road
"177/B-1, 7th Cross, Annayappa Layout, 80 Feet Road, RMV 2nd Stage, Gedalahalli, New BEL Road, Bangalore",The Banana Kick,yes,no,3.3 /5,9,New BEL Road,Cafe,Not Specified,"Cafe, Beverages",600.0,Delivery,New BEL Road
"218, Ground Floor, S.M.Plaza Building, Opposite M.S.Ramaiah Hospital, New BEL Road, Bangalore",ZEEES,yes,no,3.6 /5,9,New BEL Road,Quick Bites,Not Specified,"North Indian, Street Food, Fast Food",300.0,Delivery,New BEL Road
"Chairman's Resort, 14/1, Kodigehalli Main Road, Hebbal Area, Sahakara Nagar, Bangalore",Havelli - Chairman's Resort,yes,yes,3.5 /5,137,Sahakara Nagar,"Casual Dining, Bar",Biryani,"North Indian, Continental, Chinese, Seafood",1250.0,Delivery,New BEL Road
"2/4, 80 Feet Road, RMV Extension, Ashwathnagar, Near, New BEL Road, Bangalore",AQNI,yes,no,3.6 /5,89,New BEL Road,Casual Dining,"Mutton Biryani, Shawarma, Roti","North Indian, Mughlai, Biryani, Rolls",650.0,Delivery,New BEL Road
"Ground Floor, Shashi Arcade, 215, Near MS Ramaiah Campus, New BEL Road, Bangalore",McDonald's,yes,no,3.9 /5,281,New BEL Road,Quick Bites,"Burgers, Coke Float, French Fries","Burger, Fast Food",500.0,Delivery,New BEL Road
"363/58-3, 1st Main Road, Near Bombay Dyeing, Opposite Indian Oil Petrol Bunk, Yeshwantpur, Bangalore",Sha-e-Darbar,yes,no,3.7 /5,61,Yeshwantpur,Quick Bites,Not Specified,"North Indian, Chinese",400.0,Delivery,New BEL Road
"Opposite Ramaiah Hospital, 80 Feet Road, RMV 2nd Stage, New BEL Road, Bangalore",Salaam Sigri Rolls & Kebabs,yes,no,3.8 /5,162,New BEL Road,Quick Bites,"Rolls, Chicken Tikka, Chicken Seekh Roll, Seekh Kebab, Aloo Tikka Roll, Murgh Malai Kebab, Beda Roti","Rolls, Mughlai",300.0,Delivery,New BEL Road
"38/41, Manjunath Complex, Opposite R.M.V. Hospital, Sanjay Nagar Main Road, Sanjay Nagar, Bangalore",Ujwal Restaurant,yes,no,3.9 /5,149,Sanjay Nagar,"Bar, Casual Dining","Sea Food, Murgh Ghee Roast, Tender Coconut Chicken, Fish, Neer Dosa, Lemon Chicken, Beer","Seafood, North Indian, Chinese",600.0,Delivery,New BEL Road
"80 Ft Road, RMV 2nd Stage, New BEL Road, Bangalore",Cafe Centralis,yes,no,2.8 /5,114,New BEL Road,Cafe,"Pasta, Coffee, Pizza, Burgers, Momos, Latte, Americano",Cafe,600.0,Delivery,New BEL Road
"99/3, RMS Layout, G-Block, 60 Feet Road, Sahakara Nagar, Bangalore",Kolkata Kati Roll,yes,no,3.4 /5,14,Sahakara Nagar,Quick Bites,Not Specified,Rolls,150.0,Delivery,New BEL Road
"146, 2nd Cross Road, Jaladarsini Layout, Mathikere, New BEL Road, Bangalore",Churn,yes,no,4.2 /5,58,New BEL Road,Quick Bites,Not Specified,"Desserts, Ice Cream",250.0,Delivery,New BEL Road
"52/3, Maruti Arcade, Kasada Hobli Koti Hosahalli, Outer Ring Road, Nagashetty Halli, Maruti Nagar, Devinagar, Hebbal, Bangalore",Kolkata Famous Kati Rolls,yes,no,3.8 /5,79,Hebbal,Quick Bites,Not Specified,"Fast Food, Rolls",200.0,Delivery,New BEL Road
"403, 6th Main, 7th Cross, MSR Nagar, Mathikere, New BEL Road, Bengaluru",The Street Kitchen,yes,no,3.7 /5,16,New BEL Road,Quick Bites,Not Specified,"North Indian, Fast Food, Chinese, Beverages",300.0,Delivery,New BEL Road
"70, 80 Feet Road, RMV 2nd stage, New BEL Road, Bangalore",Plated,yes,yes,4.1 /5,554,New BEL Road,Cafe,"Pasta, Waffles, Pancakes, Salsa, Nachos, Creme Brulee, Chips","Cafe, Continental",800.0,Delivery,New BEL Road
"S.M. Plaza, 218, MGE Layout, Adjacent New BEL Road, New BEL Road, Bangalore",Baskin Robbins,yes,no,3.6 /5,34,New BEL Road,Dessert Parlor,Not Specified,"Ice Cream, Desserts",250.0,Delivery,New BEL Road
"19, Jaladarshini Layout, Above Reliance Digital, New BEL Road, Bangalore",Peppermill Bistro,yes,yes,4.0 /5,868,New BEL Road,"Casual Dining, Cafe","Pasta, Pizza, Mojito, Nachos, Lamb, Fries, Orange Juice","Continental, European, Mediterranean, Cafe, Steak",1000.0,Delivery,New BEL Road
"#50, 12th Main, 2nd Cross, CQAL layout, Sahakara Nagar, Bangalore",Yumjar,yes,no,3.4 /5,9,Sahakara Nagar,"Takeaway, Delivery",Not Specified,"Fast Food, Beverages, Desserts",300.0,Delivery,New BEL Road
"11/1, Opposite RMV Clusters Apartment, Lottegollahalli, New BEL Road, Bangalore",Tandoori Delight,yes,no,3.0 /5,46,New BEL Road,Quick Bites,Not Specified,"North Indian, Chinese",300.0,Delivery,New BEL Road
"2/26, 11th Main Road, 1st stage, 2nd Phase, Mathikere Main Road, Yeshwantpur, Bangalore",Ootada Mane,yes,no,2.9 /5,67,Yeshwantpur,Casual Dining,"Jeera Rice, Idli Vada","South Indian, North Indian, Chinese",600.0,Delivery,New BEL Road
"Near MSR Engineering College Road, New BEL Road, Bangalore",Cafe Poetry,yes,no,3.7 /5,55,New BEL Road,Cafe,"Pasta, Maggi, Ice-cream Shake, Burgers","Cafe, Beverages, Healthy Food",400.0,Delivery,New BEL Road
"2/4, 80 Feet Road, Poojari Layout, RMV Extension, New BEL Road, Bangalore",Sweetie Celebrations Cafe,yes,no,,0,New BEL Road,,Not Specified,"Desserts, Beverages",300.0,Delivery,New BEL Road
"Shop 1 & 2, E Block, 1st Main, Sahakara Nagar, Bangalore",Rabbit Paradise,yes,no,3.3 /5,4,Sahakara Nagar,"Takeaway, Delivery",Not Specified,Andhra,350.0,Delivery,New BEL Road
"53/1, 80 Feet Road, RMV 2nd Stage, New BEL Road, Bangalore",Khan Saheb Grills and Rolls,yes,no,3.7 /5,114,New BEL Road,Quick Bites,"Rolls, Paneer Tikka Roll, Chicken Reshmi Tikka Roll, Beda Roti",Fast Food,400.0,Delivery,New BEL Road
"1259, Opposite Canara Bank, 3rd Block, BEL Layout, Vidyaranyapura, New BEL Road, Bangalore",B1,yes,yes,3.9 /5,123,New BEL Road,Pub,Beer,"Continental, Burger, Italian, Pizza, North Indian, Salad",1100.0,Delivery,New BEL Road
"22, 3nd Floor, MSR Nagar, ITI Layout, New BEL Road, Bangalore",Ember The Calabash,yes,no,4.1 /5,670,New BEL Road,Cafe,"Spicy Crispy Corn, Mocktails, Chicken Wings, Pasta, Virgin Mojito, Pizza, Blueberry Mojito","Cafe, Italian, Continental, Beverages",800.0,Delivery,New BEL Road
"26, 4th Cross, MSR College Road, Mathikere Extension, New BEL Road, Bangalore",Chaska Inn,yes,no,,0,New BEL Road,Quick Bites,Not Specified,"North Indian, Chinese, Arabian",300.0,Delivery,New BEL Road
"1-A, Sri Rathna Complex, BEL Layout, 2nd Stage Cross Balaji Layout, New BEL Road, Bangalore",Chef Baker's,yes,no,,0,New BEL Road,Bakery,Not Specified,Bakery,450.0,Delivery,New BEL Road
"28 6Th Main Road, 12 Cross Msrnagar Mathikere, New BEL Road, Bangalore",Chef Kitchen,yes,no,3.7 /5,19,New BEL Road,Quick Bites,Not Specified,"North Indian, Biryani, Charcoal Chicken",200.0,Delivery,New BEL Road
"M.S Ramaiah Hospital, New Bel Road, MSR Nagar, New BEL Road",Hatti Kaapi,yes,no,,0,New BEL Road,Quick Bites,Not Specified,"South Indian, Street Food",200.0,Delivery,New BEL Road
"99/3, RMS Layout, G- Block, Opposite ICICI Bank, Sahakara Nagar, Bangalore",Big Straw Blast,yes,no,3.5 /5,6,Sahakara Nagar,Beverage Shop,Not Specified,Beverages,150.0,Delivery,New BEL Road
"Number 15, 5th Cross, Shanti Vana, Off Kodigehalli Main Road, Sahakara Nagar",The Rich Crust,yes,no,3.8 /5,43,Sahakara Nagar,Cafe,Not Specified,"Cafe, European, Continental",600.0,Delivery,New BEL Road
"21, ITI Layout, Next to Titan Show Room, New BEL Road, Bangalore",Nandhana Palace,no,no,4.2 /5,1282,New BEL Road,Casual Dining,"Mutton Nalli, Andhra Meal, Bamboo Chicken, Chicken Boneless Biryani, Vada, Chicken Kebab, Mutton Biryani","Andhra, Biryani, North Indian, Chinese",800.0,Delivery,New BEL Road
"11, Opposite Ganesh Temple, 1st Cross, 1st Main Road, MSR Nagar, New BEL Road, Bangalore",Sunaina Sapice,yes,no,3.3 /5,7,New BEL Road,Quick Bites,Not Specified,"South Indian, North Indian, Chinese",200.0,Delivery,New BEL Road
"573, 2nd Block, HMT Layout, Vidyanarayana Pura, New BEL Road, Bangalore",Domino's Pizza,yes,no,3.9 /5,257,New BEL Road,Quick Bites,"Pizza, Garlic Bread","Pizza, Fast Food",400.0,Delivery,New BEL Road
"Comfort INN Insys, 46,1st Main Road, Gokula 1st Stage, Mathikere, Yeshwantpur, Bangalore",The Crust Factory,yes,no,3.5 /5,11,Yeshwantpur,"Bakery, Cafe",Not Specified,"Bakery, Cafe, Desserts",400.0,Delivery,New BEL Road
"1, RMV 2nd Stage, 3rd Block, Chikkamaranahalli, New BEL Road, Bangalore",Sholay - The Barbeque,yes,yes,3.5 /5,45,New BEL Road,Casual Dining,Not Specified,"North Indian, BBQ",1200.0,Delivery,New BEL Road
"20, First Floor, Annapurna Complex, Next to Hotel Nandini Palace, ITI Colony, New BEL Road, Bangalore",Cafe Mandala,yes,no,3.9 /5,48,New BEL Road,Cafe,Decor,"Cafe, North Indian, Chinese, Fast Food",600.0,Delivery,New BEL Road
"2704/2, 14th Main Road, E Block, Sahakara Nagar, Bangalore",Cubbonpete Donne Biryani,yes,no,3.9 /5,92,Sahakara Nagar,Quick Bites,"Chicken Kebab, Mutton Biryani","South Indian, Biryani",300.0,Delivery,New BEL Road
"191, Next To airtel Store, New BEL Road, Bangalore",Namakh Store And Cafe,yes,no,3.7 /5,18,New BEL Road,Cafe,Not Specified,"Cafe, Continental, American",400.0,Delivery,New BEL Road
"492, Opposite To People Store, F Block, Sahakara Nagar, Bangalore",The London Shakes,yes,no,3.8 /5,44,Sahakara Nagar,"Beverage Shop, Quick Bites",Not Specified,"Beverages, Fast Food",400.0,Delivery,New BEL Road
"6th Cross, 6th Main, Near Ramaiha College, MSR Nagar, Mathikere, New BEL Road",Carbon Cup,yes,no,3.5 /5,12,New BEL Road,Quick Bites,Not Specified,"North Indian, Arabian, Fast Food, Chinese",400.0,Delivery,New BEL Road
"Sahakara Nagar, Bangalore",Kettle & Kegs,yes,no,,0,Sahakara Nagar,Beverage Shop,Not Specified,"Tea, Beverages",200.0,Delivery,New BEL Road
"960,2nd Block, BEL Layout, Vidyaranyapura Main Road, Vidyaranyapura, New BEL Road, Bangalore",Rigan Hyderabadi Bawarchi,yes,no,3.6 /5,133,New BEL Road,Casual Dining,"Butter Chicken, Shawarma, Chicken Biryani, Vegetable Biryani, Babycorn Manchurian, Dum Biryani, Noodles","Biryani, North Indian, Chinese",700.0,Delivery,New BEL Road
"13, Floor 3, AG's Layout, RMV 2nd Stage, New BEL Road, Bangalore",Puff Cafe,yes,no,3.7 /5,126,New BEL Road,Cafe,Pasta,"Cafe, Italian, American",700.0,Delivery,New BEL Road
"8th Cross Road, Park View Layout, Byatarayanapura, Sahakara Nagar, Bangalore",Sangeeta Restaurant,yes,no,3.6 /5,91,Sahakara Nagar,Quick Bites,Not Specified,"Street Food, Chinese",300.0,Delivery,New BEL Road
"4, Nirmala Complex, M.S.R Main Road, Mathikere, Yeshwantpur, Bangalore",Delight Fast Food & Restaurant,yes,no,2.8 /5,36,Yeshwantpur,Casual Dining,Not Specified,"North Indian, Chinese",550.0,Delivery,New BEL Road
"2/10, 80 Feet Road, RMV 2nd Stage, Poojary Layout, New BEL Road, Bangalore",Cafe Rossini,yes,no,3.9 /5,431,New BEL Road,Casual Dining,"Pasta, Sandwiches, Chilli Paneer, Chicken Parmigiana, Mocktails, Lamb, Minestrone Soup","Continental, Italian, Chinese",700.0,Delivery,New BEL Road
"547/11, F Block, RMS Layout, Sahakara Nagar, Bangalore",Shree Mahalakshmi Sweets,yes,no,3.6 /5,34,Sahakara Nagar,Takeaway,"Samosa, Badam Milk","Mithai, Street Food",100.0,Delivery,New BEL Road
"26/1, ADVAIT Building, 7th Cross, MSRIT Engineering College Road, Mathikere, Yeshwantpur, Bangalore",Anda Special-Pav Bhaji,yes,no,3.4 /5,8,Yeshwantpur,Quick Bites,Not Specified,Fast Food,200.0,Delivery,New BEL Road
"10, New Bel Road, 5th Main, RMV 2nd Stage New BEL Road, Bangalore",Just@99,yes,no,3.1 /5,7,New BEL Road,Quick Bites,Not Specified,"Chinese, South Indian, North Indian",300.0,Delivery,New BEL Road
"14/1, Naganpalya Main Road, MS Nagar, New BEL Road, Bangalore",Crispy Fried Chicken,yes,no,,0,New BEL Road,Quick Bites,Not Specified,"Burger, Fast Food",150.0,Delivery,New BEL Road
"1, Prem Prasad Complex, 3rd Floor, Opposite Ramaiah Hospital, New BEL Road, Bangalore",Have More,no,yes,3.9 /5,510,New BEL Road,Casual Dining,"Tawa Chicken, Mango Lassi, Paratha, Seekh Kebab, Butter Chicken, Dahi Bhalle, Makkai Roti",North Indian,700.0,Delivery,New BEL Road
"10, 1st Floor, New BEL Road, Bangalore",Hunan,no,yes,4.0 /5,820,New BEL Road,Casual Dining,"Rice Noodles, Dragon Chicken, Momos, Clear Soup, Hakka Noodles, Chop Suey, Salad","Chinese, Thai, Momos",1100.0,Delivery,New BEL Road
"50/1, Venkateshwara Layout, Opp. Gate No.7, Ramaiah Hospital, Chikkamaranahalli Bangalore., New BEL Road, Bangalore",Snow Lion Tibet Kitchen,no,no,3.9 /5,263,New BEL Road,Quick Bites,"Momos, Thukpa, Noodles, Honey Chilli Potatoes, Clear Soup, Chicken Noodle, Crispy Noodle","Tibetan, Asian, Thai, Chinese, Momos",400.0,Delivery,New BEL Road
"12, Jaladarsini Layout, New BEL Road, Bangalore",Satrangi,yes,no,3.7 /5,212,New BEL Road,Casual Dining,"Kiwi Juice, Papdi Chaat, Kheer, Veg Buffet, Roti, Pasta, Gulab Jamun","North Indian, South Indian",900.0,Delivery,New BEL Road
"47, 1st Main, AGS Layout, New BEL Road, Bangalore",Kitty's Cafe,yes,no,3.6 /5,43,New BEL Road,Quick Bites,Not Specified,Fast Food,300.0,Delivery,New BEL Road
"19, Above Reliance Digital, Jaladarshini Layout, New BEL Road, Bangalore",Kargeens,yes,no,3.9 /5,365,New BEL Road,Cafe,"Chocolate Milkshake, Mocktails, Burgers, Nachos, Virgin Mojito, Fries, Pizza","Cafe, Italian, Pizza, Continental",900.0,Delivery,New BEL Road
"16, Opposite Nursing College, MS Ramaiah Medical Campus, New BEL Road, Bangalore",NOC Cafe & Catering,yes,no,3.2 /5,7,New BEL Road,Quick Bites,Not Specified,"North Indian, Fast Food",400.0,Delivery,New BEL Road
"34, 8th Cross Road",Brahmins Food Corner,yes,no,3.7 /5,95,Jalahalli,Quick Bites,Friendly Staff,"South Indian, North Indian, Chinese",400.0,Delivery,New BEL Road
"443, 6th Cross, 6th Main, MSR Nagar, Mathikere Area, New BEL Road, Bangalore",Oottupura,yes,no,2.6 /5,166,New BEL Road,Quick Bites,"Chicken Grill, Shawarma, Rolls, Biryani, Kerala Parotta","Kerala, North Indian, Chinese, Rolls, Juices",350.0,Delivery,New BEL Road
"100, Opposite M S Ramaiah Hospital, New BEL Road, Bangalore",Subway,no,no,3.7 /5,167,New BEL Road,Quick Bites,"Sandwich, Chicken Ham, Sandwiches, Chicken Tikka","Healthy Food, Sandwich, Salad",500.0,Delivery,New BEL Road
"38, Near Devasandra Bus Stand, New BEL Road, Bangalore",Prashant Naati Corner,no,no,4.0 /5,95,New BEL Road,Quick Bites,"Donne Biryani, Mutton Chops, Chicken Fry, Chicken Biryani","South Indian, Biryani",400.0,Delivery,New BEL Road
"7, Inside MSR Campus, New BEL Road, Bangalore",Absolute Waffles,yes,no,3.9 /5,49,New BEL Road,Dessert Parlor,Waffles,"Desserts, Fast Food",200.0,Delivery,New BEL Road
"DS Max Splash, 406, 4th Floor, 3rd Main, Subhashchandrabose Road, Mathikere, New BEL Road, Bangalore",Biryani Empire,yes,no,3.0 /5,8,New BEL Road,Quick Bites,Not Specified,Biryani,400.0,Delivery,New BEL Road
"9, Jaikar Complex, RMV 2nd Stage, Near MS Ramaiah Hospital, New BEL Road, Bangalore",Nandhini Deluxe,no,yes,3.7 /5,511,New BEL Road,Casual Dining,"Thali, Hyderabadi Biryani, Mutton Biryani, Andhra Meal",North Indian,600.0,Delivery,New BEL Road
"5&6, LCR School Road, Yeshwantpur, Bangalore",Al-Baik Kabab Corner,yes,no,3.2 /5,25,Yeshwantpur,Quick Bites,Not Specified,"Kebab, Biryani",350.0,Delivery,New BEL Road
"Shop #135, De Mandarin, Ground Floor, 5th Main Road, KG Layout, RMV 2nd Stage, New BEL Road, Bangalore",Andy's CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,no,no,3.1 /5,12,New BEL Road,Cafe,Not Specified,"Cafe, Beverages, Fast Food",300.0,Delivery,New BEL Road
"10, 115/48/2, Opposite Public Library, A Block, 13th Main, Sahakara Nagar, Bangalore",Bikaner Sweets,yes,no,3.7 /5,63,Sahakara Nagar,Sweet Shop,"Chole Bhature, Panipuri, Pav Bhaji, Chaat","Mithai, Street Food",150.0,Delivery,New BEL Road
"68,1st Main Road, Bala Anjaneya Temple Road, RMV 2nd Stage, Opposite M.S.Ramaiah Hospital, New BEL Road, Bangalore",Lincoln Bistro,yes,no,4.3 /5,252,New BEL Road,Casual Dining,"Dumplings, Biryani, Pasta, Pizza, Taco Trio, Cheesecake, Chicken Wings","North Indian, Mughlai, Asian, Chinese",800.0,Delivery,New BEL Road
"Shop 12, 1st Cross, Sapthagiri Layout, Beside BESCOM, Vidyanyupura Main Road, Yelahanka, Bangalore",Cheta's Kitchen,yes,no,3.9 /5,78,Yelahanka,Quick Bites,"Appam, Fish Curry, Fish Fry, Pothichoru","Kerala, South Indian, Seafood",350.0,Delivery,New BEL Road
"64, Opposite HDFC Bank, 80 Feet Road, RMV 2nd Stage, New BEL Road, Bangalore",Natural Ice Cream,no,no,4.3 /5,273,New BEL Road,Dessert Parlor,"Waffle Cone, Chocolate Icecreams, Tender Coconut Ice Cream, Coffee Walnut, Custard Apple","Ice Cream, Beverages",200.0,Delivery,New BEL Road
"4/3, Sree Complex, 12th Main, MSRE College Road, Mathikere, New BEL Road, Bangalore",7th Heaven,no,no,3.6 /5,17,New BEL Road,Bakery,Not Specified,"Bakery, Desserts",300.0,Delivery,New BEL Road
"1243/2 - 6th Cross, 2nd Block, Vidyaranyapura, New BEL Road, Bangalore",Just Bake,yes,no,3.5 /5,24,New BEL Road,"Bakery, Quick Bites",Not Specified,Bakery,400.0,Delivery,New BEL Road
"205, New BEL Road, Bangalore",THE BEL ST.,no,no,3.9 /5,523,New BEL Road,"Cafe, Casual Dining","Pizza, Coffee, Pasta, Nachos, Mocktails, Fish, Sandwich","Cafe, Italian, American, Continental",1100.0,Delivery,New BEL Road
"4th Floor, Building 118, Near KFC, New BEL Road, Bangalore",Black Jack,no,no,3.7 /5,318,New BEL Road,Bar,"Beer, Cocktails, Masala Peanuts","North Indian, Chinese",1400.0,Delivery,New BEL Road
"787, A- Block, Next To Tumkur Grain Merchants Cooperative Bank, Sahakara Nagar, Bangalore",Mexican Burrito,no,no,4.0 /5,160,Sahakara Nagar,"Takeaway, Delivery","Chicken Quesadilla, Burrito Bowl, Rice Bowl, Nachos, California Burrito","Mexican, Fast Food",450.0,Delivery,New BEL Road
"40/4, 15th Main, MSR Industrial Estate Road, Mathikere, Yeshwantpur, Bangalore",Chandrappa Hotel,yes,no,4.2 /5,253,Yeshwantpur,Quick Bites,"Pork Pepper Fry, Mutton Chops, Mutton Biryani, Chicken Fry, Garlic Chicken, Akki Rottis, Pepper Chicken","South Indian, North Indian, Chinese",450.0,Delivery,New BEL Road
"68/1, Shop 1 - 2, AR Building, Thindlu Road, Vidyaranyapura Post, New BEL Road, Bangalore",Gowdru Mane,no,no,3.6 /5,26,New BEL Road,Quick Bites,Not Specified,"Andhra, North Indian, Chinese",300.0,Delivery,New BEL Road
"108/B K.G.E Layout, RMV 2nd Stage, 3rd Main, New BEL Road, Bangalore",Smogrill,no,no,,0,New BEL Road,"Takeaway, Delivery",Not Specified,"North Indian, Mughlai, Chinese, Beverages",150.0,Delivery,New BEL Road
"4/3, MSRE College Road, Mathikere, New BEL Road, Bangalore",Toast And Salad,yes,no,3.5 /5,25,New BEL Road,Quick Bites,Not Specified,Healthy Food,300.0,Delivery,New BEL Road
"61, MSR College Road, New BEL Road, Bangalore",Bhukkad,yes,no,3.3 /5,6,New BEL Road,Quick Bites,Not Specified,"North Indian, Mughlai",300.0,Delivery,New BEL Road
"117, AGCS Layout, New BEL Road, Bangalore",Sri Sai Fast Food,no,no,,0,New BEL Road,Quick Bites,Not Specified,South Indian,100.0,Delivery,New BEL Road
"52, 4th Cross, MSR Road, Mathikere, New BEL Road, Bangalore",Rolls Kitchen,no,no,3.5 /5,18,New BEL Road,Quick Bites,Not Specified,"Fast Food, Rolls",250.0,Delivery,New BEL Road
"17, 1st Main, Pipeline Road, Opposite MS Ramaiah Ground, Mathikere, New BEL Road, Bangalore",Subhash Mess,no,no,3.7 /5,23,New BEL Road,Mess,Not Specified,North Indian,200.0,Delivery,New BEL Road
"Shop 52/1, Nishika Arcade B3, Near Jodidhars Club, Nanjappa Layout Main Road, Vidyaranyapura, Bangalore",Cinnamon - Grills and Gourmet,no,no,3.6 /5,10,New BEL Road,Quick Bites,Not Specified,"Chinese, South Indian",400.0,Delivery,New BEL Road
"3, 184, 8th Cross, 1st Main Road MSR Nagar, Ppposite, MSR Ground, Mathikere, New Bel Roda, Bangalore",Lazeez Fast Food,no,no,,0,New BEL Road,Quick Bites,Not Specified,"North Indian, Chinese, Biryani, Rolls",300.0,Delivery,New BEL Road
"25, MS Ramaiah Memorial Hospital, New BEL Road, Bangalore",Andhra Ruchies,no,no,,0,New BEL Road,Quick Bites,Not Specified,"Andhra, Biryani",400.0,Delivery,New BEL Road
"7, MES Road, Near BEL Circle, Muthyal Nagar New BEL Road, Bangalore",Q3 Food Corner,no,no,NEW,0,New BEL Road,Casual Dining,Not Specified,"South Indian, North Indian",500.0,Delivery,New BEL Road
"14, Pipeline Road, MSR Nagar, New BEL Road, Bangalore",Basil Joint,yes,no,3.5 /5,24,New BEL Road,"Takeaway, Delivery",Not Specified,"Fast Food, Beverages",300.0,Delivery,New BEL Road
